id,AssetID,ComplianceStatus,RegulatoryReferences,Documentation
ComplianceRecord_A1,A1,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A2,A2,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A3,A3,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A4,A4,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A5,A5,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A6,A6,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A7,A7,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A8,A8,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A9,A9,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A10,A10,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A11,A11,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A12,A12,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A13,A13,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A14,A14,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A15,A15,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A16,A16,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A17,A17,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A18,A18,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A19,A19,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A20,A20,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A21,A21,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A22,A22,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A23,A23,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A24,A24,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A25,A25,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A26,A26,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A27,A27,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A28,A28,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A29,A29,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A30,A30,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A31,A31,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A32,A32,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A33,A33,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A34,A34,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A35,A35,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A36,A36,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A37,A37,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A38,A38,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A39,A39,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A40,A40,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A41,A41,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A42,A42,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A43,A43,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A44,A44,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A45,A45,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A46,A46,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A47,A47,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A48,A48,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A49,A49,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A50,A50,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A51,A51,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A52,A52,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A53,A53,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A54,A54,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A55,A55,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A56,A56,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A57,A57,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A58,A58,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A59,A59,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A60,A60,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A61,A61,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A62,A62,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A63,A63,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A64,A64,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A65,A65,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A66,A66,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A67,A67,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A68,A68,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A69,A69,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A70,A70,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A71,A71,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A72,A72,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A73,A73,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A74,A74,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A75,A75,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A76,A76,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A77,A77,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A78,A78,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A79,A79,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A80,A80,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A81,A81,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A82,A82,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A83,A83,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A84,A84,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A85,A85,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A86,A86,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A87,A87,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A88,A88,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A89,A89,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A90,A90,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A91,A91,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A92,A92,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A93,A93,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A94,A94,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A95,A95,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A96,A96,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A97,A97,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A98,A98,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A99,A99,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A100,A100,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A101,A101,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A102,A102,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A103,A103,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A104,A104,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A105,A105,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A106,A106,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A107,A107,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A108,A108,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A109,A109,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A110,A110,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A111,A111,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A112,A112,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A113,A113,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A114,A114,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A115,A115,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A116,A116,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A117,A117,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A118,A118,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A119,A119,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A120,A120,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A121,A121,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A122,A122,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A123,A123,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A124,A124,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A125,A125,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A126,A126,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A127,A127,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A128,A128,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A129,A129,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A130,A130,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A131,A131,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A132,A132,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A133,A133,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A134,A134,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A135,A135,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A136,A136,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A137,A137,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A138,A138,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A139,A139,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A140,A140,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A141,A141,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A142,A142,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A143,A143,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A144,A144,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A145,A145,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A146,A146,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A147,A147,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A148,A148,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A149,A149,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A150,A150,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A151,A151,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A152,A152,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A153,A153,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A154,A154,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A155,A155,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A156,A156,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A157,A157,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A158,A158,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A159,A159,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A160,A160,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A161,A161,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A162,A162,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A163,A163,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A164,A164,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A165,A165,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A166,A166,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A167,A167,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A168,A168,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A169,A169,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A170,A170,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A171,A171,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A172,A172,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A173,A173,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A174,A174,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A175,A175,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A176,A176,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A177,A177,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A178,A178,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A179,A179,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A180,A180,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A181,A181,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A182,A182,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A183,A183,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A184,A184,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A185,A185,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A186,A186,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A187,A187,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A188,A188,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A189,A189,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A190,A190,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A191,A191,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A192,A192,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A193,A193,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A194,A194,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A195,A195,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A196,A196,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A197,A197,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A198,A198,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A199,A199,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A200,A200,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A201,A201,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A202,A202,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A203,A203,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A204,A204,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A205,A205,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A206,A206,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A207,A207,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A208,A208,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A209,A209,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A210,A210,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A211,A211,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A212,A212,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A213,A213,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A214,A214,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A215,A215,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A216,A216,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A217,A217,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A218,A218,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A219,A219,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A220,A220,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A221,A221,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A222,A222,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A223,A223,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A224,A224,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A225,A225,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A226,A226,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A227,A227,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A228,A228,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A229,A229,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A230,A230,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A231,A231,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A232,A232,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A233,A233,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A234,A234,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A235,A235,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A236,A236,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A237,A237,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A238,A238,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A239,A239,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A240,A240,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A241,A241,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A242,A242,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A243,A243,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A244,A244,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A245,A245,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A246,A246,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A247,A247,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A248,A248,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A249,A249,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A250,A250,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A251,A251,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A252,A252,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A253,A253,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A254,A254,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A255,A255,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A256,A256,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A257,A257,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A258,A258,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A259,A259,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A260,A260,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A261,A261,Non-Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A262,A262,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A263,A263,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A264,A264,Compliant,Regulatory references details...,Documentation details...
ComplianceRecord_A265,A265,Compliant,Regulatory references details...,Documentation details...
